user,day,logon_count,after_hours_logon_count,weekend_logon_count,unique_pc_count,device_connect_count,after_hours_device_count,file_access_count,file_copy_count,sensitive_file_count,after_hours_file_count,http_count,suspicious_http_count,after_hours_http_count,email_sent_count,external_email_count,attachment_email_count,unique_recipient_count,total_recipient_count,role,role_peer_deviation_score,user_day_label,actor_label,scenario
RRC0553,2010-01-02,3,1.0,3.0,1,6.0,0.0,23.0,0.0,0.0,0.0,95.0,0.0,11.0,9.0,0.0,9.0,9.0,14.0,Physicist,-0.10315036303645406,0,0,
BRS0734,2010-01-02,2,1.0,2.0,1,4.0,0.0,13.0,0.0,0.0,0.0,162.0,0.0,3.0,10.0,2.0,10.0,10.0,19.0,Salesman,0.3060351511584167,0,0,
BQS0525,2010-01-02,2,0.0,2.0,1,12.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,3.0,0.0,3.0,3.0,6.0,Technician,0.0,0,0,
DAR0885,2010-01-02,2,0.0,2.0,1,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,3.0,1.0,3.0,3.0,6.0,Technician,0.0,0,0,
ALB0892,2010-01-02,2,0.0,2.0,1,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,3.0,1.0,3.0,3.0,3.0,Technician,0.0,0,0,
BSS0369,2010-01-03,4,2.0,4.0,2,18.0,2.0,10.0,0.0,0.0,5.0,120.0,0.0,0.0,10.0,6.0,10.0,9.0,18.0,ITAdmin,-0.46838295318850776,0,1,r4.2-3
QOS0878,2010-01-03,3,1.0,3.0,1,2.0,2.0,0.0,0.0,0.0,0.0,162.0,6.0,7.0,14.0,2.0,14.0,13.0,21.0,Salesman,0.0,0,0,
MAD0496,2010-01-03,2,0.0,2.0,1,0.0,0.0,0.0,0.0,0.0,0.0,162.0,3.0,0.0,15.0,2.0,15.0,14.0,25.0,Salesman,0.0,0,0,
MCD0125,2010-01-03,3,1.0,3.0,1,0.0,0.0,0.0,0.0,0.0,0.0,95.0,1.0,2.0,9.0,6.0,9.0,9.0,18.0,MechanicalEngineer,0.0,0,0,
MCF0600,2010-01-03,2,0.0,2.0,1,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,ProductionLineWorker,0.0,0,1,r4.2-1
LDD0560,2010-01-03,2,0.0,2.0,1,0.0,0.0,0.0,0.0,0.0,0.0,95.0,0.0,0.0,10.0,1.0,10.0,10.0,17.0,ComputerScientist,0.0,0,0,
BQS0525,2010-01-03,2,0.0,2.0,1,18.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,3.0,2.0,3.0,3.0,7.0,Technician,0.0,0,0,
DAR0885,2010-01-03,2,0.0,2.0,1,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,3.0,0.0,3.0,3.0,6.0,Technician,0.0,0,0,
ALB0892,2010-01-03,2,0.0,2.0,1,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,3.0,1.0,3.0,3.0,5.0,Technician,0.0,0,0,
JGT0221,2010-01-04,12,9.0,0.0,6,0.0,0.0,0.0,0.0,0.0,0.0,114.0,6.0,22.0,10.0,8.0,10.0,10.0,20.0,ITAdmin,0.0,0,1,r4.2-3
MVH0373,2010-01-04,8,6.0,0.0,4,0.0,0.0,0.0,0.0,0.0,0.0,114.0,0.0,0.0,11.0,4.0,11.0,10.0,19.0,ITAdmin,0.0,0,0,
MOS0047,2010-01-04,15,11.0,0.0,7,14.0,10.0,13.0,0.0,0.0,12.0,114.0,0.0,6.0,9.0,8.0,9.0,9.0,18.0,ITAdmin,-0.1943942322056878,0,1,r4.2-2
JTM0223,2010-01-04,11,7.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,114.0,0.0,14.0,11.0,3.0,11.0,10.0,17.0,ITAdmin,0.0,0,1,r4.2-3
CSC0217,2010-01-04,10,7.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,114.0,14.0,6.0,6.0,4.0,6.0,6.0,11.0,ITAdmin,0.0,0,1,r4.2-3
MPM0220,2010-01-04,9,7.0,0.0,4,24.0,6.0,26.0,0.0,0.0,3.0,114.0,1.0,8.0,11.0,3.0,11.0,9.0,15.0,ITAdmin,0.9928902253865318,0,1,r4.2-3
GTD0219,2010-01-04,12,9.0,0.0,6,12.0,6.0,14.0,0.0,0.0,9.0,114.0,2.0,6.0,10.0,8.0,10.0,10.0,20.0,ITAdmin,-0.10306465854474785,0,1,r4.2-3
KSP0357,2010-01-04,12,10.0,0.0,6,0.0,0.0,0.0,0.0,0.0,0.0,114.0,0.0,0.0,11.0,3.0,11.0,9.0,16.0,ITAdmin,0.0,0,0,
CCA0046,2010-01-04,4,3.0,0.0,2,2.0,2.0,1.0,0.0,0.0,1.0,114.0,0.0,3.0,11.0,3.0,11.0,9.0,14.0,ITAdmin,-1.2903491161369676,0,1,r4.2-3
HWY0038,2010-01-04,12,11.0,0.0,6,0.0,0.0,0.0,0.0,0.0,0.0,114.0,4.0,24.0,11.0,8.0,11.0,9.0,19.0,ITAdmin,0.0,0,0,
PGH0184,2010-01-04,3,1.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,6.0,3.0,1.0,3.0,3.0,8.0,Technician,0.0,0,0,
CAH0936,2010-01-04,3,1.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,14.0,8.0,0.0,8.0,7.0,15.0,ComputerScientist,0.0,0,1,r4.2-1
HXL0968,2010-01-04,2,1.0,0.0,1,6.0,0.0,2.0,0.0,0.0,0.0,10.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,ProductionLineWorker,-0.4616841797999605,0,1,r4.2-2
WRM0963,2010-01-04,3,1.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,ProductionLineWorker,0.0,0,0,
JJM0203,2010-01-04,2,1.0,0.0,1,4.0,0.0,4.0,0.0,0.0,0.0,95.0,0.0,16.0,9.0,5.0,9.0,8.0,16.0,Engineer,0.4591464742175779,0,1,r4.2-2
AJR0932,2010-01-04,2,1.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,95.0,1.0,14.0,9.0,1.0,9.0,9.0,16.0,ComputerProgrammer,0.0,0,1,r4.2-1
BBS0039,2010-01-04,6,3.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,114.0,0.0,7.0,11.0,7.0,11.0,11.0,17.0,ITAdmin,0.0,0,1,r4.2-3
RGG0064,2010-01-04,3,1.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,95.0,0.0,15.0,9.0,1.0,9.0,9.0,14.0,SoftwareEngineer,0.0,0,1,r4.2-1
CFW0264,2010-01-04,2,1.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,95.0,0.0,13.0,9.0,1.0,9.0,8.0,19.0,MaterialsEngineer,0.0,0,0,
TEM0093,2010-01-04,2,1.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,95.0,0.0,8.0,9.0,5.0,9.0,8.0,14.0,MaterialsEngineer,0.0,0,0,
IAT0263,2010-01-04,2,1.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,95.0,0.0,12.0,1.0,0.0,1.0,1.0,1.0,MaterialsEngineer,0.0,0,0,
RAR0725,2010-01-04,2,1.0,0.0,1,4.0,1.0,5.0,0.0,0.0,0.0,10.0,0.0,1.0,1.0,0.0,1.0,1.0,2.0,ProductionLineWorker,0.25561538735266104,0,1,r4.2-2
