user,day,logon_count,after_hours_logon_count,weekend_logon_count,unique_pc_count,device_connect_count,after_hours_device_count,file_access_count,file_copy_count,sensitive_file_count,after_hours_file_count,http_count,suspicious_http_count,after_hours_http_count,email_sent_count,external_email_count,attachment_email_count,unique_recipient_count,total_recipient_count,role,role_peer_deviation_score
NGF0157,2010-01-02,3,1.0,3.0,1,0.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,9.0,9.0,6.0,9.0,8.0,15.0,FinancialAnalyst,0.0
IRM0931,2010-01-02,5,1.0,5.0,2,0.0,0.0,0.0,0.0,0.0,0.0,95.0,0.0,13.0,9.0,6.0,9.0,9.0,15.0,ComputerProgrammer,0.0
LAP0338,2010-01-02,2,1.0,2.0,1,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,12.0,3.0,2.0,3.0,3.0,4.0,Technician,0.0
MHH0180,2010-01-02,3,1.0,3.0,1,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,3.0,0.0,3.0,3.0,8.0,Technician,0.0
AHC0142,2010-01-02,3,1.0,3.0,1,0.0,0.0,0.0,0.0,0.0,0.0,95.0,0.0,0.0,9.0,8.0,9.0,6.0,15.0,Engineer,0.0
ABC0174,2010-01-02,3,1.0,3.0,1,4.0,0.0,2.0,0.0,0.0,0.0,162.0,2.0,17.0,15.0,11.0,15.0,15.0,21.0,Salesman,-0.7761973688701879
HAD0246,2010-01-02,3,1.0,3.0,1,0.0,0.0,0.0,0.0,0.0,0.0,95.0,3.0,0.0,10.0,0.0,10.0,10.0,19.0,MechanicalEngineer,0.0
RRC0553,2010-01-02,3,1.0,3.0,1,6.0,0.0,23.0,0.0,0.0,0.0,95.0,0.0,11.0,9.0,0.0,9.0,9.0,14.0,Physicist,1.48285890229233
IKP0472,2010-01-02,5,3.0,5.0,2,2.0,0.0,4.0,0.0,0.0,0.0,9.0,0.0,1.0,1.0,1.0,1.0,1.0,3.0,ProductionLineWorker,-0.43458847611335755
BRS0734,2010-01-02,2,1.0,2.0,1,4.0,0.0,13.0,0.0,0.0,0.0,162.0,0.0,3.0,10.0,2.0,10.0,10.0,19.0,Salesman,0.49099945000776357
YIC0195,2010-01-02,2,0.0,2.0,1,0.0,0.0,0.0,0.0,0.0,0.0,114.0,0.0,0.0,11.0,7.0,11.0,11.0,17.0,PurchasingClerk,0.0
NAH0503,2010-01-02,2,0.0,2.0,1,0.0,0.0,0.0,0.0,0.0,0.0,162.0,0.0,0.0,15.0,10.0,15.0,15.0,29.0,Salesman,0.0
AOK0844,2010-01-02,2,1.0,2.0,1,2.0,2.0,7.0,0.0,0.0,7.0,10.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,ProductionLineWorker,-0.06297646039078783
FKK0055,2010-01-02,3,0.0,3.0,1,0.0,0.0,0.0,0.0,0.0,0.0,100.0,11.0,0.0,8.0,5.0,8.0,8.0,16.0,Scientist,0.0
RAW0915,2010-01-02,3,1.0,3.0,1,4.0,0.0,0.0,0.0,0.0,0.0,100.0,1.0,7.0,8.0,3.0,8.0,7.0,13.0,Scientist,0.0
FOB0756,2010-01-02,3,0.0,3.0,1,0.0,0.0,0.0,0.0,0.0,0.0,29.0,1.0,0.0,3.0,2.0,3.0,3.0,6.0,Technician,0.0
HLH0512,2010-01-02,2,0.0,2.0,1,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,3.0,0.0,3.0,3.0,5.0,Technician,0.0
BQS0525,2010-01-02,2,0.0,2.0,1,12.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,3.0,0.0,3.0,3.0,6.0,Technician,0.0
BDI0533,2010-01-02,3,0.0,3.0,1,0.0,0.0,0.0,0.0,0.0,0.0,30.0,1.0,0.0,3.0,1.0,3.0,3.0,5.0,Technician,0.0
DAR0885,2010-01-02,2,0.0,2.0,1,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,3.0,1.0,3.0,3.0,6.0,Technician,0.0
ALB0892,2010-01-02,2,0.0,2.0,1,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,3.0,1.0,3.0,3.0,3.0,Technician,0.0
BSS0369,2010-01-03,4,2.0,4.0,2,18.0,2.0,10.0,0.0,0.0,5.0,120.0,0.0,0.0,10.0,6.0,10.0,9.0,18.0,ITAdmin,-0.6717001009965006
CMB0912,2010-01-03,3,1.0,3.0,1,0.0,0.0,0.0,0.0,0.0,0.0,143.0,3.0,15.0,14.0,1.0,14.0,13.0,25.0,Manager,0.0
LBH0942,2010-01-03,3,1.0,3.0,1,16.0,3.0,22.0,0.0,0.0,3.0,95.0,0.0,11.0,9.0,6.0,9.0,9.0,16.0,SoftwareEngineer,1.1644834589657733
IRM0931,2010-01-03,3,1.0,3.0,1,2.0,0.0,4.0,0.0,0.0,0.0,95.0,1.0,11.0,9.0,5.0,9.0,9.0,19.0,ComputerProgrammer,-0.7351003745367761
LAP0338,2010-01-03,3,1.0,3.0,1,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,3.0,3.0,1.0,3.0,3.0,6.0,Technician,0.0
LBF0214,2010-01-03,4,1.0,4.0,2,4.0,0.0,3.0,0.0,0.0,0.0,150.0,0.0,21.0,14.0,5.0,14.0,12.0,21.0,SecurityGuard,-0.6736565903672268
QOS0878,2010-01-03,3,1.0,3.0,1,2.0,2.0,0.0,0.0,0.0,0.0,162.0,6.0,7.0,14.0,2.0,14.0,13.0,21.0,Salesman,0.0
HAD0246,2010-01-03,3,1.0,3.0,1,2.0,0.0,2.0,0.0,0.0,0.0,95.0,0.0,0.0,10.0,4.0,10.0,10.0,16.0,MechanicalEngineer,-1.3110171464359612
OBH0499,2010-01-03,3,0.0,3.0,1,16.0,0.0,2.0,0.0,0.0,0.0,162.0,2.0,0.0,15.0,11.0,15.0,15.0,22.0,Salesman,-0.7761973688701879
IKP0472,2010-01-03,3,0.0,3.0,1,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,ProductionLineWorker,0.0
MAD0496,2010-01-03,2,0.0,2.0,1,0.0,0.0,0.0,0.0,0.0,0.0,162.0,3.0,0.0,15.0,2.0,15.0,14.0,25.0,Salesman,0.0
AOK0844,2010-01-03,3,1.0,3.0,1,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,ProductionLineWorker,0.0
MCD0125,2010-01-03,3,1.0,3.0,1,0.0,0.0,0.0,0.0,0.0,0.0,95.0,1.0,2.0,9.0,6.0,9.0,9.0,18.0,MechanicalEngineer,0.0
YIC0195,2010-01-03,3,0.0,3.0,1,0.0,0.0,0.0,0.0,0.0,0.0,114.0,0.0,0.0,11.0,1.0,11.0,10.0,16.0,PurchasingClerk,0.0
