user,day,logon_count,after_hours_logon_count,weekend_logon_count,unique_pc_count,device_connect_count,after_hours_device_count,file_access_count,file_copy_count,sensitive_file_count,after_hours_file_count,http_count,suspicious_http_count,after_hours_http_count,email_sent_count,external_email_count,attachment_email_count,unique_recipient_count,total_recipient_count,role,role_peer_deviation_score,user_day_label,actor_label,scenario
MHH0180,2010-01-02,3,1.0,3.0,1,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,3.0,0.0,3.0,3.0,8.0,Technician,0.0,0,0,
ABC0174,2010-01-02,3,1.0,3.0,1,4.0,0.0,2.0,0.0,0.0,0.0,162.0,2.0,17.0,15.0,11.0,15.0,15.0,21.0,Salesman,-0.9860057658062722,0,1,r4.2-2
RRC0553,2010-01-02,3,1.0,3.0,1,6.0,0.0,23.0,0.0,0.0,0.0,95.0,0.0,11.0,9.0,0.0,9.0,9.0,14.0,Physicist,0.8984758950055961,0,0,
BRS0734,2010-01-02,2,1.0,2.0,1,4.0,0.0,13.0,0.0,0.0,0.0,162.0,0.0,3.0,10.0,2.0,10.0,10.0,19.0,Salesman,0.03541962459692438,0,0,
YIC0195,2010-01-02,2,0.0,2.0,1,0.0,0.0,0.0,0.0,0.0,0.0,114.0,0.0,0.0,11.0,7.0,11.0,11.0,17.0,PurchasingClerk,0.0,0,0,
AOK0844,2010-01-02,2,1.0,2.0,1,2.0,2.0,7.0,0.0,0.0,7.0,10.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,ProductionLineWorker,-0.13489585224397352,0,0,
FOB0756,2010-01-02,3,0.0,3.0,1,0.0,0.0,0.0,0.0,0.0,0.0,29.0,1.0,0.0,3.0,2.0,3.0,3.0,6.0,Technician,0.0,0,0,
BQS0525,2010-01-02,2,0.0,2.0,1,12.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,3.0,0.0,3.0,3.0,6.0,Technician,0.0,0,0,
BDI0533,2010-01-02,3,0.0,3.0,1,0.0,0.0,0.0,0.0,0.0,0.0,30.0,1.0,0.0,3.0,1.0,3.0,3.0,5.0,Technician,0.0,0,0,
DAR0885,2010-01-02,2,0.0,2.0,1,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,3.0,1.0,3.0,3.0,6.0,Technician,0.0,0,0,
ALB0892,2010-01-02,2,0.0,2.0,1,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,3.0,1.0,3.0,3.0,3.0,Technician,0.0,0,0,
BSS0369,2010-01-03,4,2.0,4.0,2,18.0,2.0,10.0,0.0,0.0,5.0,120.0,0.0,0.0,10.0,6.0,10.0,9.0,18.0,ITAdmin,-0.41103443873220485,0,1,r4.2-3
QOS0878,2010-01-03,3,1.0,3.0,1,2.0,2.0,0.0,0.0,0.0,0.0,162.0,6.0,7.0,14.0,2.0,14.0,13.0,21.0,Salesman,0.0,0,0,
MAD0496,2010-01-03,2,0.0,2.0,1,0.0,0.0,0.0,0.0,0.0,0.0,162.0,3.0,0.0,15.0,2.0,15.0,14.0,25.0,Salesman,0.0,0,0,
AOK0844,2010-01-03,3,1.0,3.0,1,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,ProductionLineWorker,0.0,0,0,
MCD0125,2010-01-03,3,1.0,3.0,1,0.0,0.0,0.0,0.0,0.0,0.0,95.0,1.0,2.0,9.0,6.0,9.0,9.0,18.0,MechanicalEngineer,0.0,0,0,
YIC0195,2010-01-03,3,0.0,3.0,1,0.0,0.0,0.0,0.0,0.0,0.0,114.0,0.0,0.0,11.0,1.0,11.0,10.0,16.0,PurchasingClerk,0.0,0,0,
MCF0600,2010-01-03,2,0.0,2.0,1,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,ProductionLineWorker,0.0,0,1,r4.2-1
LDD0560,2010-01-03,2,0.0,2.0,1,0.0,0.0,0.0,0.0,0.0,0.0,95.0,0.0,0.0,10.0,1.0,10.0,10.0,17.0,ComputerScientist,0.0,0,0,
BDI0533,2010-01-03,3,0.0,3.0,1,2.0,0.0,3.0,0.0,0.0,0.0,30.0,0.0,0.0,3.0,3.0,3.0,3.0,4.0,Technician,-0.6110544668040406,0,0,
BQS0525,2010-01-03,2,0.0,2.0,1,18.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,3.0,2.0,3.0,3.0,7.0,Technician,0.0,0,0,
DAR0885,2010-01-03,2,0.0,2.0,1,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,3.0,0.0,3.0,3.0,6.0,Technician,0.0,0,0,
ALB0892,2010-01-03,2,0.0,2.0,1,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,3.0,1.0,3.0,3.0,5.0,Technician,0.0,0,0,
JGT0221,2010-01-04,12,9.0,0.0,6,0.0,0.0,0.0,0.0,0.0,0.0,114.0,6.0,22.0,10.0,8.0,10.0,10.0,20.0,ITAdmin,0.0,0,1,r4.2-3
MVH0373,2010-01-04,8,6.0,0.0,4,0.0,0.0,0.0,0.0,0.0,0.0,114.0,0.0,0.0,11.0,4.0,11.0,10.0,19.0,ITAdmin,0.0,0,0,
MOS0047,2010-01-04,15,11.0,0.0,7,14.0,10.0,13.0,0.0,0.0,12.0,114.0,0.0,6.0,9.0,8.0,9.0,9.0,18.0,ITAdmin,-0.11658372554127445,0,1,r4.2-2
JTM0223,2010-01-04,11,7.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,114.0,0.0,14.0,11.0,3.0,11.0,10.0,17.0,ITAdmin,0.0,0,1,r4.2-3
EIS0041,2010-01-04,12,9.0,0.0,6,12.0,8.0,16.0,0.0,0.0,7.0,114.0,0.0,12.0,10.0,0.0,10.0,9.0,15.0,ITAdmin,0.17786698764965594,0,0,
CSC0217,2010-01-04,10,7.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,114.0,14.0,6.0,6.0,4.0,6.0,6.0,11.0,ITAdmin,0.0,0,1,r4.2-3
MPM0220,2010-01-04,9,7.0,0.0,4,24.0,6.0,26.0,0.0,0.0,3.0,114.0,1.0,8.0,11.0,3.0,11.0,9.0,15.0,ITAdmin,1.1593693649527572,0,1,r4.2-3
GTD0219,2010-01-04,12,9.0,0.0,6,12.0,6.0,14.0,0.0,0.0,9.0,114.0,2.0,6.0,10.0,8.0,10.0,10.0,20.0,ITAdmin,-0.018433487810964332,0,1,r4.2-3
KSP0357,2010-01-04,12,10.0,0.0,6,0.0,0.0,0.0,0.0,0.0,0.0,114.0,0.0,0.0,11.0,3.0,11.0,9.0,16.0,ITAdmin,0.0,0,0,
