user,day,logon_count,after_hours_logon_count,weekend_logon_count,unique_pc_count,device_connect_count,after_hours_device_count,file_access_count,file_copy_count,sensitive_file_count,after_hours_file_count,http_count,suspicious_http_count,after_hours_http_count,email_sent_count,external_email_count,attachment_email_count,unique_recipient_count,total_recipient_count,role,role_peer_deviation_score,user_day_label,actor_label,scenario
ABC0174,2010-01-02,3,1.0,3.0,1,4.0,0.0,2.0,0.0,0.0,0.0,162.0,2.0,17.0,15.0,11.0,15.0,15.0,21.0,Salesman,-0.7900292914800677,0,1,r4.2-2
FOB0756,2010-01-02,3,0.0,3.0,1,0.0,0.0,0.0,0.0,0.0,0.0,29.0,1.0,0.0,3.0,2.0,3.0,3.0,6.0,Technician,0.0,0,0,
DAR0885,2010-01-02,2,0.0,2.0,1,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,3.0,1.0,3.0,3.0,6.0,Technician,0.0,0,0,
ALB0892,2010-01-02,2,0.0,2.0,1,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,3.0,1.0,3.0,3.0,3.0,Technician,0.0,0,0,
BSS0369,2010-01-03,4,2.0,4.0,2,18.0,2.0,10.0,0.0,0.0,5.0,120.0,0.0,0.0,10.0,6.0,10.0,9.0,18.0,ITAdmin,-0.46259108008250077,0,1,r4.2-3
QOS0878,2010-01-03,3,1.0,3.0,1,2.0,2.0,0.0,0.0,0.0,0.0,162.0,6.0,7.0,14.0,2.0,14.0,13.0,21.0,Salesman,0.0,0,0,
MCF0600,2010-01-03,2,0.0,2.0,1,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,ProductionLineWorker,0.0,0,1,r4.2-1
DAR0885,2010-01-03,2,0.0,2.0,1,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,3.0,0.0,3.0,3.0,6.0,Technician,0.0,0,0,
ALB0892,2010-01-03,2,0.0,2.0,1,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,3.0,1.0,3.0,3.0,5.0,Technician,0.0,0,0,
JGT0221,2010-01-04,12,9.0,0.0,6,0.0,0.0,0.0,0.0,0.0,0.0,114.0,6.0,22.0,10.0,8.0,10.0,10.0,20.0,ITAdmin,0.0,0,1,r4.2-3
